SN,State,LGA,Health Facility,% of states that have commenced recruitment of SBAs,Proportion of targeted SBA recruitments that have been completed (recruited over planned),Number of SBAs recruited,Proportion of SBAs deployed per state (total number deployed),Total number of SBAs,Proportion of planned frontline health workers who have been trained,Proportion of CBHWs recruited (state),Number of CBHWs trained (state),Proportion of CBHWs deployed per state (state),% of recruited CBHWs that have been absorbed ,Total BHCPF Facilities (LGA),Proportion of L2 functional facilities per LGA (BHCPF),Proportion of L1 functional facilities per LGA,Proportion of partially functional facilities per LGA,Number of revitalized PHC facilities per LGA,# of emergency referrals transported via the ambulance service,# of obstetric and newborn emergency referrals transported via the ambulance service,# of obstetric emergencies reported via helplines,,,,,
1,ABIA,BENDE,Akanu Item Mphc Primary Health Centre,NO,0,0,0,3,127,0,0,0,0,13,5,8,0,10,,,,,,,,
2,ABIA,BENDE,Akoli Primary Health Centre,NO,0,0,0,3,127,0,0,0,0,13,5,8,0,10,,,,,,,,
3,ABIA,BENDE,Amaba Ugwueke Primary Health Centre,NO,0,0,0,2,127,0,0,0,0,13,5,8,0,10,,,,,,,,
4,ABIA,BENDE,Amaiyi Igbere Primary Health Centre,NO,0,0,0,2,127,0,0,0,0,13,5,8,0,10,,,,,,,,
5,ABIA,BENDE,Amankalu Alayi Primary Health Centre,NO,0,0,0,9,127,0,0,0,0,13,5,8,0,10,,,,,,,,
6,ABIA,BENDE,Bende Maternity Centre,NO,0,0,0,4,127,0,0,0,0,13,5,8,0,10,,,,,,,,
7,ABIA,BENDE,Igbere Primary Health Centre,NO,0,0,0,6,127,0,0,0,0,13,5,8,0,10,,,,,,,,
8,ABIA,BENDE,Isiegbu Ozuitem Primary Health Centre,NO,0,0,0,13,127,0,0,0,0,13,5,8,0,10,,,,,,,,
9,ABIA,BENDE,Ngwu Primary Health Centre,NO,0,0,0,7,127,0,0,0,0,13,5,8,0,10,,,,,,,,
10,ABIA,BENDE,Ntalakwu Health Centre,NO,0,0,0,3,127,0,0,0,0,13,5,8,0,10,,,,,,,,
11,ABIA,BENDE,Okoko Maternity Centre,NO,0,0,0,3,127,0,0,0,0,13,5,8,0,10,,,,,,,,
12,ABIA,BENDE,Umuhu Primary Health Centre,NO,0,0,0,2,127,0,0,0,0,13,5,8,0,10,,,,,,,,
13,ABIA,BENDE,Umunnato Primary Health Centre,NO,0,0,0,2,127,0,0,0,0,13,5,8,0,10,,,,,,,,
14,ABIA,OBINGWA,Abala Primary Health Centre,NO,0,0,0,2,197,0,0,0,0,11,4,7,0,2,,,,,,,,
15,ABIA,OBINGWA,Akumaimo Primary Health Centre,NO,0,0,0,5,197,0,0,0,0,11,4,7,0,2,,,,,,,,
16,ABIA,OBINGWA,Ehere Primary Health Centre,NO,0,0,0,3,197,0,0,0,0,11,4,7,0,2,,,,,,,,
17,ABIA,OBINGWA,Itungwa Primary Health Centre,NO,0,0,0,7,197,0,0,0,0,11,4,7,0,2,,,,,,,,
18,ABIA,OBINGWA,Mbano Ntighauzor Primary Health Centre,NO,0,0,0,3,197,0,0,0,0,11,4,7,0,2,,,,,,,,
19,ABIA,OBINGWA,Mgboko Amairi Primary Health Centre,NO,0,0,0,2,197,0,0,0,0,11,4,7,0,2,,,,,,,,
20,ABIA,OBINGWA,Mgboko Okengwa Primary Health Centre,NO,0,0,0,2,197,0,0,0,0,11,4,7,0,2,,,,,,,,
21,ABIA,OBINGWA,Ndiakata Primary Health Centre,NO,0,0,0,6,197,0,0,0,0,11,4,7,0,2,,,,,,,,
22,ABIA,OBINGWA,Ohanze (Not Umuezeigbe As Listed Umuezeigbe Is Not Centre) Primary Basic Health Centre,NO,0,0,0,9,197,0,0,0,0,11,4,7,0,2,,,,,,,,
23,ABIA,OBINGWA,Osusu Amaukwa Primary Health Centre,NO,0,0,0,3,197,0,0,0,0,11,4,7,0,2,,,,,,,,
24,ABIA,OBINGWA,Umuagu Primary Health Centre,NO,0,0,0,3,197,0,0,0,0,11,4,7,0,2,,,,,,,,
25,ABIA,UKWA EAST,Abaki Primary Health Centre,NO,0,0,0,3,149,0,0,0,0,10,5,5,0,1,,,,,,,,
26,ABIA,UKWA EAST,Akanu Primary Health Centre,NO,0,0,0,5,149,0,0,0,0,10,5,5,0,1,,,,,,,,
27,ABIA,UKWA EAST,Akirika Uku Primary Health Centre,NO,0,0,0,4,149,0,0,0,0,10,5,5,0,1,,,,,,,,
28,ABIA,UKWA EAST,Akwete Primary Health Centre,NO,0,0,0,3,149,0,0,0,0,10,5,5,0,1,,,,,,,,
29,ABIA,UKWA EAST,Azumini Primary Health Centre,NO,0,0,0,2,149,0,0,0,0,10,5,5,0,1,,,,,,,,
30,ABIA,UKWA EAST,Obohia Primary Health Centre,NO,0,0,0,4,149,0,0,0,0,10,5,5,0,1,,,,,,,,
31,ABIA,UKWA EAST,Obunku Primary Health Centre,NO,0,0,0,3,149,0,0,0,0,10,5,5,0,1,,,,,,,,
32,ABIA,UKWA EAST,Ohambele Primary Health Centre,NO,0,0,0,3,149,0,0,0,0,10,5,5,0,1,,,,,,,,
33,ABIA,UKWA EAST,Ohanku Primary Health Centre,NO,0,0,0,4,149,0,0,0,0,10,5,5,0,1,,,,,,,,
34,ABIA,UKWA EAST,Ohuru Primary Health Centre,NO,0,0,0,5,149,0,0,0,0,10,5,5,0,1,,,,,,,,
35,ADAMAWA,DEMSA,Bille Primary Health Centre,NO,0,0,0,4,66,0,0,0,0,10,6,4,0,5,,,,,,,,
36,ADAMAWA,DEMSA,Borrong Primary Health Centre,NO,0,0,0,6,66,0,0,0,0,10,6,4,0,5,,,,,,,,
37,ADAMAWA,DEMSA,Demsa Primary Health Centre,NO,0,0,0,3,66,0,0,0,0,10,6,4,0,5,,,,,,,,
38,ADAMAWA,DEMSA,Dilli Primary Health Centre,NO,0,0,0,3,66,0,0,0,0,10,6,4,0,5,,,,,,,,
39,ADAMAWA,DEMSA,Dong Primary Health Centre,NO,0,0,0,4,66,0,0,0,0,10,6,4,0,5,,,,,,,,
40,ADAMAWA,DEMSA,Dwam Primary Health Centre,NO,0,0,0,9,66,0,0,0,0,10,6,4,0,5,,,,,,,,
41,ADAMAWA,DEMSA,Gwamba Primary Health Centre,NO,0,0,0,2,66,0,0,0,0,10,6,4,0,5,,,,,,,,
42,ADAMAWA,DEMSA,Kpsham Primary Health Centre,NO,0,0,0,5,66,0,0,0,0,10,6,4,0,5,,,,,,,,
43,ADAMAWA,DEMSA,N/Demsa Primary Health Centre,NO,0,0,0,9,66,0,0,0,0,10,6,4,0,5,,,,,,,,
44,ADAMAWA,DEMSA,Tahau Primary Health Centre,NO,0,0,0,1,66,0,0,0,0,10,6,4,0,5,,,,,,,,
45,ADAMAWA,GANYE,Dirdiu Health Centre,NO,0,0,0,5,113,0,0,0,0,10,6,4,0,4,,,,,,,,
46,ADAMAWA,GANYE,Gamu Health Centre,NO,0,0,0,2,113,0,0,0,0,10,6,4,0,4,,,,,,,,
47,ADAMAWA,GANYE,Gangdona Health Post,NO,0,0,0,3,113,0,0,0,0,10,6,4,0,4,,,,,,,,
48,ADAMAWA,GANYE,Gurumpawo Health Centre,NO,0,0,0,6,113,0,0,0,0,10,6,4,0,4,,,,,,,,
49,ADAMAWA,GANYE,Jaggu Primary Health Centre,NO,0,0,0,4,113,0,0,0,0,10,6,4,0,4,,,,,,,,
50,ADAMAWA,GANYE,Old Market Health Post,NO,0,0,0,6,113,0,0,0,0,10,6,4,0,4,,,,,,,,
51,ADAMAWA,GANYE,Sangasumi Health Centre,NO,0,0,0,7,113,0,0,0,0,10,6,4,0,4,,,,,,,,
52,ADAMAWA,GANYE,Sugu Health Centre,NO,0,0,0,3,113,0,0,0,0,10,6,4,0,4,,,,,,,,
53,ADAMAWA,GANYE,Yebbi Health Centre,NO,0,0,0,3,113,0,0,0,0,10,6,4,0,4,,,,,,,,
54,ADAMAWA,GANYE,Yelwa Health Centre,NO,0,0,0,5,113,0,0,0,0,10,6,4,0,4,,,,,,,,
55,ADAMAWA,GOMBI,Boga Primary Health Centre,NO,0,0,0,8,89,0,0,0,0,11,10,1,0,4,,,,,,,,
56,ADAMAWA,GOMBI,Fotta Primary Health Centre,NO,0,0,0,5,89,0,0,0,0,11,10,1,0,4,,,,,,,,
57,ADAMAWA,GOMBI,Ga'anda Primary Health Centre,NO,0,0,0,4,89,0,0,0,0,11,10,1,0,4,,,,,,,,
58,ADAMAWA,GOMBI,Gabun Primary Health Centre,NO,0,0,0,8,89,0,0,0,0,11,10,1,0,4,,,,,,,,
59,ADAMAWA,GOMBI,Gombi A Primary Health Centre,NO,0,0,0,9,89,0,0,0,0,11,10,1,0,4,,,,,,,,
60,ADAMAWA,GOMBI,Gombi B Primary Health Centre,NO,0,0,0,9,89,0,0,0,0,11,10,1,0,4,,,,,,,,
61,ADAMAWA,GOMBI,Guyaku Primary Health Centre,NO,0,0,0,4,89,0,0,0,0,11,10,1,0,4,,,,,,,,
62,ADAMAWA,GOMBI,Muchalla Primary Health Centre,NO,0,0,0,11,89,0,0,0,0,11,10,1,0,4,,,,,,,,
63,ADAMAWA,GOMBI,Nyako Primary Health Centre,NO,0,0,0,8,89,0,0,0,0,11,10,1,0,4,,,,,,,,
64,ADAMAWA,GOMBI,Wuyaku Primary Health Centre,NO,0,0,0,4,89,0,0,0,0,11,10,1,0,4,,,,,,,,
65,ADAMAWA,GOMBI,Yang Primary Health Centre,NO,0,0,0,0,89,0,0,0,0,11,10,1,0,4,,,,,,,,
66,ADAMAWA,HONG,Daksiri Gari Health Centre,NO,0,0,0,5,155,0,0,0,0,12,10,2,0,7,,,,,,,,
67,ADAMAWA,HONG,Garaha Maternal And Child Health,NO,0,0,0,5,155,0,0,0,0,12,10,2,0,7,,,,,,,,
